#This should be a tab-delimited file.  Column 1 = cell line name.  Column 2 = ECACC catalogue number.
#Catalouge Numbers ECHC7765001 to ECGC77650107 allocated by ECACC
#ECGC77650108  to ECGC77659999 available for allocation by us
#cell_line	ecacc_catalogue_number
HPSI0813i-ffdr_3	77650001
HPSI0813i-ffdc_1	77650002
HPSI0813i-fpdk_2	77650003
HPSI0813i-fpdl_1	77650004
HPSI0813i-fpdl_2	77650005
HPSI0913i-gedo_3	77650006
HPSI0413i-uahf_3	77650007
HPSI0313i-airc_2	77650008
HPSI0813i-ffdj_1	77650009
HPSI0413i-xekf_1	77650010
HPSI0413i-yuze_1	77650011
HPSI0513i-golb_1	77650012
HPSI0613i-liun_2	77650013
HPSI0813i-ffdc_11	77650014
HPSI0413i-coxy_3	77650015
HPSI0613i-liun_22	77650016
HPSI0613i-zisa_3	77650017
HPSI0613i-funp_3	77650018
HPSI0713i-qimz_1	77650019
HPSI0913i-vopm_2	77650020
HPSI0413i-peop_2	77650021
HPSI0513i-oeoo_2	77650022
HPSI0413i-iakz_1	77650023
HPSI0613i-giuo_4	77650024
HPSI0513i-iasn_3	77650025
HPSI1113i-wetu_2	77650026
HPSI1113i-bima_2	77650027
HPSI1213i-nekd_1	77650028
HPSI1113i-eofe_1	77650029
HPSI1113i-qolg_3	77650030
HPSI1013i-cups_3	77650031
HPSI1213i-babk_2	77650032
HPSI1213i-pahc_5	77650033
HPSI0114i-lexy_2	77650034
HPSI1213i-nusw_2	77650035
HPSI1113i-podx_1	77650036
HPSI1013i-pamv_3	77650037
HPSI0913i-oapg_5	77650038
HPSI1013i-kuxp_1	77650039
HPSI1013i-hiaf_2	77650040
HPSI0114i-bezi_3	77650041
HPSI0114i-bezi_1	77650042
HPSI0114i-rozh_5	77650043
HPSI0114i-vass_1	77650044
HPSI1013i-sebz_1	77650045
HPSI1213i-pahc_4	77650046
HPSI0114i-joxm_1	77650047
HPSI0114i-kolf_3	77650048
HPSI0314i-cuhk_1	77650049
HPSI0114i-rozh_4	77650050
HPSI1013i-pamv_1	77650051
HPSI0214i-kehc_2	77650052
HPSI0114i-vabj_3	77650053
HPSI0114i-lexy_1	77650054
HPSI0314i-xugn_1	77650055
HPSI1113i-qorq_1	77650056
HPSI0214i-wibj_2	77650057
HPSI0314i-cuhk_2	77650058
HPSI0913i-eika_2	77650059
HPSI1013i-yemz_1	77650060
HPSI1113i-ieki_2	77650061
HPSI0314i-bubh_1	77650062
HPSI1113i-qorq_2	77650063
HPSI0913i-lise_1	77650064
HPSI0214i-kucg_2	77650065
HPSI1013i-yemz_3	77650066
HPSI1113i-bima_1	77650068
HPSI0214i-pelm_3	77650070
HPSI1113i-hayt_1	77650071
HPSI0114i-oevr_3	77650072
HPSI1013i-wuye_2	77650073
HPSI0314i-qonc_2	77650074
HPSI0813i-iill_1	77650075
HPSI1113i-hayt_3	77650076
HPSI0314i-bubh_3	77650077
HPSI1113i-uofv_1	77650078
HPSI0214i-feec_3	77650079
HPSI0214i-feec_3	77650080
HPSI0114i-eipl_1	77650081
HPSI0114i-iisa_3	77650082
HPSI1213i-hehd_2	77650083
HPSI0314i-qonc_1	77650084
HPSI0214i-heja_2	77650085
HPSI0913i-lise_3	77650086
HPSI1213i-xuja_2	77650087
HPSI0913i-diku_1	77650088
HPSI0214i-pelm_1	77650089
HPSI0314i-fafq_1	77650090
HPSI1013i-jufd_3	77650091
HPSI0813i-meqo_2	77650092
HPSI0613i-eojr_3	77650093
HPSI0813i-iicq_1	77650094
HPSI0513i-euir_1	77650095
HPSI0114i-iisa_1	77650096
HPSI0713i-foop_1	77650097
HPSI0713i-nemb_1	77650098
HPSI0713i-foop_2	77650099
HPSI0114i-kolf_2	77650100
HPSI1213i-foqj_2	77650101
HPSI0913i-coyi_3	77650102
HPSI0713i-cicb_3	77650103
HPSI0713i-cicb_2	77650104
HPSI0913i-ffdl_1	77650105
HPSI0114i-fikt_3	77650106
HPSI0713i-darw_1	77650107
HPSI1113i-dons_1	77650108
HPSI0713i-ruyv_3	77650109
HPSI0413i-ougl_1	77650110
HPSI0713i-ruyv_1	77650111
HPSI0613i-oefg_2	77650112
HPSI0813i-uaqe_1	77650113
HPSI0913i-ruql_3	77650114
HPSI0613i-xavk_3	77650115
HPSI0813i-robp_3	77650116
HPSI0413i-ougl_3	77650117
HPSI0413i-sukz_1	77650118
HPSI0613i-xucm_3	77650119
HPSI0813i-vajx_2	77650120
HPSI1113i-podx_2	77650121
HPSI0513i-suzg_3	77650122
HPSI1113i-nibo_3	77650123
HPSI0214i-heja_1	77650124
HPSI0813i-guss_1	77650125
HPSI0314i-sojd_3	77650126
HPSI0313i-cesj_1	77650127
HPSI0813i-aizi_3	77650128
HPSI0314i-hoik_1	77650129
HPSI0813i-civh_1	77650130
HPSI1013i-wuye_3	77650131
HPSI0813i-iill_3	77650132
HPSI0813i-zexw_3	77650133
HPSI0613i-eojr_2	77650134
HPSI0713i-terl_2	77650135
HPSI0713i-terl_1	77650136
HPSI0613i-bohf_1	77650137
HPSI1013i-garx_2	77650138
HPSI0214i-heth_1	77650139
HPSI1013i-wopl_1	77650140
HPSI0513i-fejf_2	77650141
HPSI1013i-jogf_2	77650142
HPSI0513i-veve_2	77650143
HPSI0314i-xugn_2	77650144
HPSI1113i-qolg_1	77650145
HPSI0314i-qaqx_1	77650146
HPSI0713i-wiol_1	77650147
HPSI0713i-veku_2	77650148
HPSI0513i-oibg_1	77650149
HPSI0713i-nocf_2	77650150
HPSI0513i-netf_2	77650151
HPSI0713i-pusf_3	77650152
HPSI0413i-yotv_2	77650153
HPSI1013i-jufd_2	77650154
HPSI0513i-coio_1	77650155
HPSI0114i-zapk_3	77650156
HPSI0813i-aizi_1	77650157
HPSI0513i-uoxz_4	77650158
HPSI0813i-iicq_3	77650159
HPSI0913i-ffdz_2	77650160
HPSI1113i-fumb_2	77650161
HPSI0513i-oarz_22	77650162
HPSI0513i-xegx_1	77650163
HPSI0114i-zoxy_3	77650164
HPSI0214i-eiwy_1	77650165
